,EPISODE_ID,STATE_FIPS,EPISODE_NARRATIVE
39,123388,6,"A brief landspout tornado formed north of Bishop, CA.  There were multiple independent reports with video."
40,123391,22,A line of thunderstorms moved across the region producing an isolated tornado at Pitkin in Vernon Parish.
41,123403,29,A strong cold front and associated spring storm system produce severe thunderstorms with very large hail and several tornadoes across the Missouri Ozarks.
42,123407,12,"A line of strong to severe thunderstorms associated with a cold front moved across the area during the morning hours of April 15th.  A strong low level jet enhanced low level shear across the area, and a brief tornado occurred near Tyndall AFB in addition to numerous reports of trees down across northwest Florida."
43,123408,13,"A line of strong to severe thunderstorms associated with a cold front moved across the area during the morning hours of April 15th.  A strong low level jet enhanced low level shear across the area, and a brief tornado occurred in Decatur county, GA in addition to numerous reports of trees down across southern Georgia."
44,123419,29,A strong cold front interacted with a very unstable airmass across the Midsouth during the afternoon and evening hours of February 24h. All facets of severe weather occurred.
45,123441,37,"A strong cold front with a negatively-tilted upper level trough approached the North Carolina Piedmont.  Plenty of wind shear with modest instability made conditions ripe for large hail, damaging winds, and tornadoes.  A supercell ahead of the cold front became strong enough to produce two tornadoes.  The first tornado initially formed in Guilford County but crossed into Rockingham County and caused noteworthy damage, while a second tornado touched down in Caswell County and continued into Virginia."
46,123442,51,"A strong cold front with a negatively-tilted upper level trough approached southwest Virginia.  Plenty of wind shear with modest instability made conditions ripe for large hail, damaging winds, and tornadoes.  The thunderstorms ahead of the cold front became strong enough to produce six tornadoes across portions of southwest Virginia.  While the first tornado originally formed in Caswell County of North Carolina and crossed into Virginia, the other five all touched down in Virginia.  These tornadoes caused significant damage within the cities of Danville and Lynchburg and within the town of Elon in Amherst County.  It is the first time ever since storm data records began in 1950 that a tornado struck inside the city limits of Lynchburg."
47,123494,5,"Numerous supercell thunderstorms moved across Arkansas from the evening of April 13th into the early morning hours of April 14th. These storms produced multiple weak tornadoes and damaging wind gusts across Arkansas. The tornadoes and damaging wind gusts produced primarily light structural damage, and one of the hardest hit areas was a nursing home near Mountain Home that was heavily damaged by 85 mph straight line winds."
48,123495,45,"A strong upper level disturbance combined with strong atmospheric shear, and instability enhanced by diurnal heating, produced a line of thunderstorms, some of which were severe and included embedded tornadoes."
49,123499,13,"An upper-level short wave sweeping southeast through the southern Appalachians spawned isolated severe thunderstorms across the region. Cold air aloft, associated with the short wave, produced large hail in portions of north and central Georgia. Enhanced shear along a warm front helped to produced an isolated tornado in northeast Georgia."
50,123500,13,"Widespread severe thunderstorms broke out across central and north Georgia during the evening hours of March 19th, through the early morning hours of the 20th as a warm front lifted north across the region ahead of a strong storm system developing across the lower Mississippi Valley."
51,123518,5,"A line of thunderstorms moved through Arkansas on February 24th, bringing damaging winds, flash flooding, and a small tornado to Arkansas."
52,123528,28,"An unstable airmass and advancing cold front produced severe thunderstorms capable of large hail, damaging winds and a tornado across portions of north Mississippi during the morning and late afternoon hours of March 19th."
53,123573,39,Severe thunderstorms and tornadoes developed ahead of a strong cold front. Between one to three inches of rain fell across the region.
54,123615,22,"A cold front shifted south and became stationary across portions of Deep East Texas and the southern and eastern sections of Northcentral Louisiana during the afternoon hours of March 28th. A warm and unstable air mass was present near and south of the front, as a large upper level trough shifted east across Texas during the evening and overnight hours, taking on a negative tilt as it entered the region late. Showers and thunderstorms developed throughout the day on March 28th across much of East Texas and North Louisiana ahead of this trough, with surface low pressure developing along the front over Northcentral Louisiana. The combined instability and increased wind shear near and south of the front resulted in severe thunderstorm development, producing numerous reports of damaging winds and and a couple of isolated tornadoes during the afternoon. Additional thunderstorms intensified during the evening and overnight hours along and south of the front ahead of the approaching upper trough, with periods of heavy rainfall training over the same areas, resulting in flash flooding over portions of Northcentral Louisiana. These storms diminished during the early morning hours of March 29th with the passage of the trough."
55,123662,1,"Widespread showers and thunderstorms ahead of a cold front lifted northward across the tri-state area on Sunday, April 22, 2018. While overall damage reports with the thunderstorms were limited, strong low level shear caused rotation in numerous storms. Despite the strong low level shear, instability was limited and the resultant storm mode was mini-supercells.  A few reports of trees and even a downed street sign were reported in Houston county, AL. Despite the low-topped convection, the core of one storm in Lanier county, GA was also strong enough to produce nickel sized hail. While rotation was noted in multiple storms and a few tornado warnings were issued, only one storm produced a tornado that moved through Dale county, AL."
56,123664,1,"A brief, weak tornado touched down near Chatom and caused minor damage."
57,123683,1,"A line of thunderstorms moved across Central Alabama during the early morning hours of Wednesday, February 7, 2018. Supercells embedded within the line were responsible for producing large hail, damaging winds, and several tornadoes. Severe weather was not anticipated as most model guidance indicated insufficient instability and wind shear for the development of supercells, tornadoes and other severe convective hazards. Even so, a marginal risk was highlighted for the western and southern portions of Central Alabama. The storms exhibited organization and frequent lightning, indicators that instability was likely higher than expected. The radar signatures were marginal at best and therefore, only a few Severe Thunderstorm Warnings were issued during the event."
58,123684,39,"A warm front lifted across the middle Ohio River Valley on the morning of the 3rd. This brought a round of showers and thunderstorms. Showers lingered across central and eastern Ohio through much of the day with the warm front in the vicinity. A strong cold front then pushed through in the evening with strong to severe thunderstorms. Periods of heavy rain, first with the warm front, and then again with the cold front led to flooding."
59,123730,17,"An outbreak of severe thunderstorms occurred during the afternoon and evening. Several tornadoes were spawned along a line of fast-moving thunderstorms. Four of the tornadoes were associated with a persistent circulation that moved east across Williamson and Saline Counties, passing just north of Marion and Harrisburg. The circulation exited southern Illinois along the Wabash River southeast of Carmi. A fifth tornado was associated with a circulation that tracked east across Massac and Pope Counties in the southern tip of the state.  The severe storm outbreak occurred ahead of a cold front that accelerated east-southeast toward the mid Mississippi Valley. Cooling aloft ahead of a shortwave trough over the Plains, combined with diurnal heating and moist southerly winds, resulted in a corridor of deepening convection ahead of the front. Steep mid-level lapse rates and strong effective wind shear promoted some large hail within the strongest storms."
60,123737,21,"Clusters of strong to severe thunderstorms moved eastward out of southern Illinois and southeast Missouri. The storms produced four tornadoes over the far western counties of Kentucky before weakening as they moved east across the Kentucky Lake region. The most significant tornado, which occurred over Livingston County, was rated EF-2. The severe storms occurred ahead of a cold front that accelerated east-southeast toward the lower Ohio Valley. Cooling aloft ahead of a shortwave trough over the Plains, combined with diurnal heating and moist southerly winds, resulted in a corridor of  convection ahead of the front. The storms weakened somewhat as they moved east across the Kentucky Lake region into slightly drier and more stable air."
61,123749,42,"Waves of heavy rain produced flooding on February 15th through the 16th. A line of thunderstorms developed along a lifting warm front, providing not only for enhancement in the rainfall totals, which ranged from 1-3 inches, but also attributed to shear that supported the development of a short-lived tornado over Uniontown, in Fayette county Pennsylvania. This was the first tornado in February since 1950 for the Pittsburgh Weather Service area of responsibility."
62,123764,12,"A strong squall line moved into the west coast of Florida ahead of a fast moving cold front. Some of the stronger storms produced severe wind gusts, and one waterspout came onshore as a brief lived tornado."
63,123813,22,"A warm front lifted north across much of East Texas and Southwest Arkansas by the afternoon hours on April 6th, with very warm, humid, and unstable air having spread in place across much of the Ark-La-Tex during the afternoon and evening hours. In addition to the surface based instability in place, very cold temperatures in the mid and upper level of the atmosphere resulted in very steep lapse rates further enhancing instability, with strong wind shear present in advance of a strong cold front which entered the Southern Plains during the afternoon ahead of a strong upper level trough of low pressure. Scattered to numerous showers and thunderstorms developed along and just in advance of the cold front, many of which became severe producing large hail and damaging winds. These storms steadily marched east across North Louisiana during the mid afternoon through much of the evening hours before diminishing late with the passage of the cold front and upper trough."
64,123836,22,"A deep upper level low pressure and an associated cold front produced a line of thunderstorms that moved across southeast Louisiana, southern Mississippi and the adjacent coastal waters during the morning and afternoon hours of the 14th. Several reports of tornadoes were received from these storms."
65,123837,28,"A deep upper level low pressure and an associated cold front produced a line of thunderstorms that moved across southeast Louisiana, southern Mississippi and the adjacent coastal waters during the morning and afternoon hours of the 14th. Several reports of tornadoes were received from these storms."
66,123838,22,A cold front moved across southeast Louisiana during the morning hours of the 22nd. The thunderstorms associated with the cold front produced at least one tornado near Galliano.
67,123852,22,A line of thunderstorms moved through the region during the evening of March 28. These storms brought tornadoes as well as straight line winds to portions of northeast Louisiana in association with a cold front passing through the region.
68,123853,28,A line of thunderstorms moved through the region during the evening of March 28. These storms brought tornadoes as well as large hail and straight line winds to portions of central Mississippi in association with a cold front passing through the region.
69,123876,12,"A small shower moved onshore during the evening hours, producing a brief tornado over Ruskin."
70,123905,22,"A strong upper level trough of low pressure progressed east across the Southern Plains during the afternoon of April 13th, with a large warm sector of warm/humid air having expanded north across much of the Ark-La-Tex. A capping inversion delayed the onset of thunderstorm development until the late afternoon, where it eroded and large scale forcing increased with shortwave perturbations ahead of the trough and along/just ahead of a dry line as it mixed east to the Interstate 35 corridor or North and Central Texas. Given the moderate instability and strong wind shear that developed with the lead shortwave, scattered supercell thunderstorms developed across Northcentral Louisiana during the late afternoon through mid evening hours, producing numerous reports of damaging winds, and several tornadoes/funnel cloud reports. While a lull in the storms was observed, a line of severe thunderstorms developed along the dryline south of the Dallas/Fort Worth Metroplex, and progressed east into East Texas by late evening, and across North Louisiana after midnight on April 14th. Damaging winds and reports of hail were prevalent at first with this line of severe thunderstorms, but a number of notches developed along the squall line as these storms crossed into North Louisiana, resulting in several tornadoes touching down across areas along and north of the Interstate 20 corridor from Shreveport to Monroe. Of particular interest, the initial string of tornadoes first touched down just west of the Texas/Louisiana state line along the Harrison/Panola County line, with this supercell producing two separate tornadoes as it entered Shreveport. In fact, the tornado remained on the ground across much of western and central Shreveport, moving across the northern fringes of the property at the National Weather Service Office before moving across the Queensborough and Allendale neighborhoods and across Downtown Shreveport, before tracking across much of Bossier City along and just north of Interstate 20, crossing Interstate 220, and across the Red Chute and Princeton communities before lifting just west of the Bossier/Webster Parish line. These severe thunderstorms exited North Louisiana just after 3 am on the 14th."
71,123907,29,"An organized outbreak of severe thunderstorms occurred. Most of the severe weather reports were generated by two intense storm clusters. The first cluster crossed the Ozark foothills between Van Buren and Doniphan, then proceeded due east across Poplar Bluff and Dexter to the Mississippi River. This cluster occasionally acquired supercell characteristics. Large hail from 1 to 3 inches in diameter was common during most of its life cycle in southeast Missouri. A couple of tornadoes were spawned as well. A second less intense cluster moved east across southern Bollinger and Cape Girardeau Counties. This cluster produced hail up to the size of golf balls and an isolated wind gust up to near 60 mph. The severe storm outbreak occurred ahead of a  cold front that accelerated east-southeast toward the mid Mississippi Valley. Cooling aloft ahead of a shortwave trough over the Plains, combined with diurnal heating and moist southerly winds, resulted in a corridor of deepening convection ahead of the front. Steep mid-level lapse rates and strong effective wind shear promoted some very large hail within discrete storm cells."
72,123927,12,A frontal boundary moved into the region which allowed scattered showers and isolated thunderstorms to develop. In the moist and unstable air mass a thunderstorm developed and produced a tornado along outflow and boundary interactions.
73,123931,20,"On the evening of May 2, 2018 a line of strong storms moved through eastern Kansas. While strong storms occurred across the entire eastern part of the state, the strongest impacts were felt within the Kansas City Metro area, where a EF-1 tornado formed in Overland Park, causing a fair amount of damage in the form of widespread tree damage, some structure damage to local schools, and numerous power lines and power poles were destroyed. The line of storms continued into western Missouri, where they went on to produce more tornadoes and scattered wind damage."
74,123932,29,"On the evening of May 2, 2018 strong thunderstorms moved out of Kansas and into western Missouri. These storms formed squall line tornadoes, that did damage across portions of the Kansas City Metro Area. The bulk of the damage occurred in Jackson County, Kansas, where several trees were destroyed in the Raytown area near and along Raytown Road. Two tornadoes occurred that night in Raytown causing a narrow path of tree damage, which also caused some structure damage.  Several other areas had some tornado and wind damage, although not quite as extensive. Several areas had trees blown down with some damage done to objects they fell onto."
75,123943,20,Supercell T-storms developed across north central Kansas during the late afternoon on May 1.  The supercells produced at least 4 documented tornadoes including a strong tornado in Ottawa county near Tescott Kansas.  No injuries occurred with any of the storms.
76,123946,20,A large cluster of t-storms developed during the afternoon of May 2 across central Kansas. The cluster evolved into a line or lines of storms that moved across northeast and east central Kansas during the afternoon and evening of May 2.  Wind damage reports occurred in addition to a few tornado reports with the lines.  At least 3 documented tornadoes occurred but all were short lived and relatively weak.
77,123971,13,"Despite minimal instability across the region, a strong cold front and moderate shear managed to produce a brief tornado in central Georgia."
78,123980,20,"A series of severe thunderstorms and a few supercells moved east across central Kansas | and along Interstate 70, during the late afternoon and evening hours of May 1st, 2018.  The strongest supercell thunderstorms produced very large hail up to 4 inches in diameter.  A couple of tornadoes were produced by one strong supercell thunderstorm, the first touched down just south of Interstate 70, seven miles north of Ellsworth, and the second touched down,  3 miles north of Glendale, or 7 miles northwest of Salina, Kansas.  Damage from the tornadoes was minimal, however, significant damage occurred due to the very large hail."
79,123981,20,"A complex of storms swept east across most of the region during the afternoon and evening hours of May 2nd, 2018.  As the storms moved east, a combination of large hail and damaging winds moved across the area.  A few tornadoes were also reported along the leading edge of the quasi linear convective system with only brief touchdowns reported."
80,124002,48,"A strong upper level trough of low pressure progressed east across the Southern Plains during the afternoon of April 13th, with a large warm sector of warm/humid air having expanded north across much of the Ark-La-Tex. A capping inversion delayed the onset of thunderstorm development until the late afternoon, where it eroded and large scale forcing increased with shortwave perturbations ahead of the trough and along/just ahead of a dry line as it mixed east to the Interstate 35 corridor or North and Central Texas. Given the moderate instability and strong wind shear that developed with the lead shortwave, scattered supercell thunderstorms developed across East Texas during the late afternoon through the evening hours, producing numerous reports of damaging winds and large hail. While a lull in the storms was observed, a line of severe thunderstorms developed along the dryline south of the Dallas/Fort Worth Metroplex, and progressed east into East Texas by late evening. Damaging winds and reports of hail were prevalent at first with this line of severe thunderstorms, but a number of notches developed along the squall line as these storms moved into extreme Eastern Texas, resulting in two tornadoes touching down across Northern Gregg and Northwest Harrison Counties, as well as extreme Southeastern Harrison County near the Caddo Parish Louisiana line. These severe thunderstorms exited East Texas by midnight on the 14th."
81,124024,5,"A strong upper level trough of low pressure progressed east across the Southern Plains during the afternoon of April 13th, with a large warm sector of warm/humid air having expanded north across much of the Ark-La-Tex. A capping inversion delayed the onset of thunderstorm development until the late afternoon, where it eroded and large scale forcing increased with shortwave perturbations ahead of the trough and along/just ahead of a dry line as it mixed east to the Interstate 35 corridor or North and Central Texas. Given the moderate instability and strong wind shear that developed with the lead shortwave, scattered supercell thunderstorms developed across Northeast Texas during the late afternoon and moved into portions of Southwest Arkansas during the early evening, producing several reports of damaging winds, funnel clouds, and even an isolated tornado that touched down near Umpire in Northern Howard County. While a lull in the storms was observed during the mid and late evening, a line of severe thunderstorms developed along the dryline south of the Dallas/Fort Worth Metroplex, and progressed east into Southwest Arkansas after midnight and throughout the early morning hours on April 14th. Damaging winds were prevalent at first with this line of severe thunderstorms, but a number of notches developed along the squall line as these storms moved into Union County Arkansas, resulting in two tornadoes touching down across Southern and Eastern Union County south and east of El Dorado. These severe thunderstorms exited Southcentral Arkansas after 230 am on the 14th."
